City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Ercis,TR,76.68,clear sky,39.0287,43.3586,Erciş Elit Otel
601,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
612,Devgarh,IN,85.19,light rain,25.5333,73.9,Deogarh Mahal
617,Osmena,PH,80.62,overcast clouds,10.5208,119.9258,Arjemarkyza Lodge
625,Rincon,US,82.85,scattered clouds,32.296,-81.2354,Days Inn Rincon
626,Wanning,CN,86.16,overcast clouds,18.8003,110.3967,Paradise Hotel
628,Ceres,US,77.32,clear sky,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
631,Shubarkuduk,KZ,81.0,clear sky,49.1447,56.4872,Sirius
632,Auki,SB,86.04,broken clouds,-8.7676,160.7034,Auki Motel
638,Marsaxlokk,MT,79.09,clear sky,35.8419,14.5431,Water's Edge
639,Da Nang,VN,87.78,scattered clouds,16.0678,108.2208,Grand Mercure Danang
646,Kihei,US,86.02,few clouds,20.785,-156.4656,Maui Sunset
648,Ambon,ID,80.98,overcast clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
649,Labuhan,ID,85.77,broken clouds,-6.8844,112.2051,DoubleFAG
656,Alta Floresta,BR,80.13,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
657,Galle,LK,80.19,overcast clouds,6.0367,80.217,Amangalla
658,Kurchum,KZ,81.05,scattered clouds,48.5722,83.6542,"""Kneda"" Hotel"
659,La Palma,US,86.11,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
660,Gorontalo,ID,82.29,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
662,Cilegon,ID,84.63,clear sky,-6.0174,106.0538,Forbis Hotel
664,Ha Giang,VN,83.12,overcast clouds,22.8333,104.9833,Truong Xuan Resort
667,Siocon,PH,79.07,overcast clouds,7.7061,122.1353,ABS Hotel
668,Baiyin,CN,85.37,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
670,Khash,IR,86.02,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
673,Trairi,BR,75.54,clear sky,-3.2778,-39.2689,janelas do mar
683,Kyaikto,MM,76.17,overcast clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
684,Fengzhen,CN,86.07,broken clouds,40.4394,113.1536,Feng Zhen Hotel
685,Lake City,US,76.86,clear sky,30.1897,-82.6393,Ramada Limited Lake City
686,Oussouye,SN,77.43,moderate rain,12.485,-16.5469,Auberge du Routard
691,Brigantine,US,79.0,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
692,Soe,ID,81.1,scattered clouds,-9.8607,124.284,Dena Hotel
